name,registry,ship_class,description
USS Yeager,NCC-1437,Cardenas,Destroyed at the Battle at the Binary Stars.
USS Fearless,NCC-14598,Excelsior,"Assigned to planetary mapping in the Beta Mahoga system. Received new warp technology. Briefly seen in The Next Generation episode ""Where No One Has Gone Before"""
USS Carolina,NCC-160,Daedalus,Freighter.
USS Sioux,NCC-1621,Malachowski,Fought at the Battle at the Binary Stars.
USS Valiant,NCC-1623,Constitution,"For his influential ""The Case of Jonathan Doe Starship"" article, published in the April 1973 issue 27 of the T-Negative fanzine, future Star Trek model maker Greg Jein accepted the producer's intent and endowed Valiant with the appropriately lower conjectural registry number NCC-1623. But unlike many of his other conjectural Constitution-class registry numbers, the 2006 remastered version of the series afforded no opportunity to bring this ship to canon. The reference book Star Fleet Technical Manual also listed a Constitution-class starship with the name Valiant but assigned with the registry NCC-1709. The 1973 Franz Joseph Blueprints list this ship as NCC-1709 also."
USS Intrepid,NCC-1631,Constitution,"All-Vulcan crew destroyed by a massive, spacegoing single-celled life form. The 1973 Franz Joseph Blueprints list this ship as NCC-1708."
USS Farragut,NCC-1647,Constitution,"Ship on which James Kirk served as a phaser station operator. Attacked by the dikironium cloud creature, which killed half the crew. The ship never appeared on screen and was never given a class or registry number; both come from The Star Trek Encyclopedia. The 1973 Franz Joseph Blueprints list this ship as NCC-1702."
USS Europa,NCC-1648,Nimitz,Commanded by Admiral Brett Anderson. Destroyed by a cloaked Klingon ship during the Battle at the Binary Stars.
USS Korolev,NCC-1650,Korolev,Presumable namesake ship for the class.
USS Potemkin,NCC-1657,Constitution,Participates in Richard Daystrom's M5 computer test. See USS Kongo for its ultimate fate. The 1973 Franz Joseph Blueprints list this ship as NCC-1711.
USS Clarke,NCC-1661,Malachowski,Destroyed at the Battle at the Binary Stars.
USS Excalibur,NCC-1664,Constitution,"Severely damaged and crew killed during Richard Daystrom's M5 computer test. In TOS episode ""The Ultimate Computer"", the death of its entire crew is established, however, the status of the Excalibur itself is unclear. It is not determined whether the ship was destroyed or severely damaged. The Star Trek Chronology (2nd ed., p. 88) stated that the ship was destroyed. The fourth edition of the Star Trek Encyclopedia offered two possibilities of the conditions of the Excalibur – the ship was severely damaged in (vol. 1, p. 254) or accidentally destroyed in (vol. 2, p. 329). Even though the episode itself provided no firm confirmation either way. The 1973 Franz Joseph Blueprints list this ship as NCC-1705."
USS Exeter,NCC-1672,Constitution,"All crew lost (killed by alien disease) except for Captain Ronald Tracey, who was on the planet's surface when the disease struck his crew. At the end of the series Captain James T. Kirk stated that the Exeter was an abandoned ship, being infected with the virus of Omega IV. Best estimates were that the Exeter was destroyed to keep the infection from spreading throughout the galaxy. See USS Kongo for its ultimate fate. The 1973 Franz Joseph Blueprints list this ship as NCC-1706."
USS Edison,NCC-1683,Hoover,Destroyed at the Battle at the Binary Stars.
USS Dana,NCC-1690,Hoover,Fought at the Battle at the Binary Stars.
USS Helin,NCC-1692,Miranda,Patrolled the Romulan Neutral Zone.
USS Constitution,NCC-1700,Constitution,Lead ship of the class (previously NX-1700).
USS Enterprise,NCC-1701,Constitution,"Commanded by Robert April (2245–2250), Christopher Pike (2250–2265), James T. Kirk (2265–2270, 2273–2280, 2285), Willard Decker (2270–2273, ship's commander during refit up to V'Ger incident), and Spock (2280–2285, at which time Enterprise was assigned to Starfleet Academy as a training ship). Vessel's self-destruction carried out while in orbit of the Genesis planet to prevent ship from falling into Klingon hands."
USS Enterprise,NCC-1701-B,Excelsior,Ship aboard which James T. Kirk is lost and presumed dead. First commanded by Captain Jon Harriman.
USS Enterprise,NCC-1701-C,Ambassador,Commanded by Captain Rachel Garrett presumed to be Killed In Action when the ship was destroyed defending the Klingon outpost at Narendra III from Romulan attack. Helmsman Richard Castillo assumed command of the Enterprise-C in 2366 and returned to the year 2344 where the ship was destroyed defending the Klingon outpost.
USS Enterprise,NCC-1701-D,Galaxy,Primary setting for Star Trek: The Next Generation. Captained by Jean-Luc Picard. Launched in 2363. Destroyed in 2371. Engineering section destroyed by warp core breach at Veridian III. Saucer section crash landed on Veridian III and rendered unsalvageable.
USS Enterprise,NCC-1701-E,Sovereign,"Primary setting for Star Trek: First Contact, Star Trek: Insurrection, Star Trek Nemesis and also made an appearance on Bridge Commander. Captained by Jean-Luc Picard."
USS Enterprise,NCC-1701-F,Odyssey,Commanded by Captain Va'kel Shon. Participated in the second battle for Deep Space Nine as well as the final battle against the Iconians in Star Trek: Online.
USS Pegasus,NCC-1702,Constitution,Patrolled the Klingon Neutral Zone.
USS Hood,NCC-1703,Constitution,"Participates in Richard Daystrom's M5 computer test. Destroyed by sabotage in Star Trek Continues episode 7, ""Embracing the Winds"". In episodes 10–11 ""To Boldly Go"", we find out this was done by espers. The 1973 Franz Joseph Blueprints list this ship as NCC-1707."
USS Ranger (Simulation ship),NCC-1707,Constitution refit,Another simulated Enterprise class ship used by Starfleet Academy trainees in Star Trek: Starfleet Academy.
USS Lexington,NCC-1709,Constitution,Participates in Richard Daystrom's M5 computer test. Commanded by Commodore Robert Wesley. The 1973 Franz Joseph Blueprints list this ship as NCC-1703.
USS Kongo,NCC-1710,Constitution,"In Star Trek Continues episodes 10–11 ""To Boldly Go"", the Kongo is hijacked by espers and taken to the galactic barrier. They then head for Earth with murderous intent. With the help of Romulan commander Charvanek and her Hawk's Talon, the Enterprise foils them, but not before they trick the Exeter and Potemkin into destroying each other. In their last act of defiance, the espers destroy the Kongo."
USS Kongo,NCC-1710-A,Sovereign,"The war with Starfleet took a heavy toll,The decision to bring out some of its old ship names from mothball, the USS Kongo was Commissioned on stardate:50938.10 in the year 2373 under the command of Captain Donavon until the near future. The Alphabet letter (A) was put on to the NCC-1710 hull number to honor the Kongo from the year 2293. The USS Kongo NCC-1710-A was the 2nd ship to bear the name of the Kongo. The Plaque reads as follows (""Never give up, Never Surrender"")"
USS Yorktown,NCC-1717,Constitution,Disabled by alien probe. The 1973 Franz Joseph Blueprints list this ship as NCC-1704.
USS Essex,NCC-173,Daedalus,Damaged and crashed on Mab-Bu VI.
USS Sentinel,NCC-17331,Sovereign,Appears in Star Trek: Invasion. Also mentioned in the great transaction for graviton stabilizers.
USS Horizon,NCC-176,Daedalus,"A model of this ship was on display in the school aboard Deep Space 9 in early 2369. (DS9: ""The Nagus"")."
USS Defiant,NCC-1764,Constitution,"The ship is lost in an interdimensional rift in ""The Tholian Web"". Later, it is revealed she was taken by Mirror Universe Tholians, captured by the crew of the ISS Enterprise (NX-01), and then used in the service of the Terran Empire in ""In a Mirror, Darkly"". In Star Trek Continues (episode 8, ""Still Treads the Shadow""), Defiant is duplicated during its passage through the interdimensional rift into interphasic space with only a duplicate Kirk aboard. Over the next two hundred years, it gains a sentient AI who attempts to bring it back into the prime universe. The attempt has potentially disastrous consequences and is foiled by both Kirks, the duplicate returning to interphasic space. A Defiant is mentioned, but not seen (except for a wireframe graphic) in Star Trek Discovery, Season One.Oddly, though the Defiant appears in TOS, the Star Fleet Technical Manual lists no Defiant in any of the starship classes mentioned though the book was published seven years after the fact. However, there are several classes not listed in the publication. The Defiant is listed as a Bonhomme Richard subclass of the Constitution class. In the Star Fleet Technical Manual, it lists the registry number of ""NCC-1764"" as belonging to the Galina. Since the Defiant appears in an episode, and the Galina does not, then the Defiant is the sole owner of the NCC-1764. But, one possibility is, the number was attached to the Galina after the disappearance of the Defiant."
USS Vengeance,NCC-177358,Dreadnought,Developed by Starfleet Admiral Alexander Marcus of Section 31 to combat the Klingon Empire.
USS Pilgrim,NCC-178,Daedalus,"Active in the year 2159 in the vicinity of one of Starfleet's first starbases. Appears in the Star Trek videogame ""Legacy""."
USS Mesquite,NCC-1789,Freedom,"Training ship, assigned to Starbase 1. Mentioned in Star Trek: Tactical Assault."
USS Paris,NCC-1804,Constitution refit,Destroyed in The Battle of Caleb IV.
USS Lantree,NCC-1837,Miranda,Crew died after exposure to genetically engineered humans. Destroyed by the USS Enterprise-D.
USS Tempest (simulation ship),NCC-1852,Miranda,Simulated Miranda class vessel used by Academy trainees in Star Trek: Starfleet Academy.
USS Reliant,NCC-1864,Miranda,"Ship on which Pavel Chekov serves as first officer. Assigned to Project Genesis and later hijacked by Khan Noonien Singh. Heavily damaged by USS Enterprise (NCC-1701), then destroyed by Genesis Device detonation."
USS Saratoga,NCC-1887,Miranda,Disabled by the Whale Probe.
USS Archon,NCC-189,Daedalus,Destroyed by an alien computer in 2167 near Beta III.
USS Sagittarius,NCC-1894,Archer,Commanded by Clark Terrell prior to taking command of the USS Reliant. Assigned to explore the Taurus Reach. Presumably named for the constellation.
USS Yosemite,NCC-19002,Oberth,Studied the plasma arc between binary stars.
USS Sitak,NCC-1924,Miranda,Destroyed at the Battle for Deep Space 9.
USS Tripoli,NCC-19386,Hokule‘a,Discovered by Data. Later assigned to Qualor II.
USS Soyuz,NCC-1939,Soyuz,Presumable namesake ship for the class.
USS Bozeman,NCC-1941,Soyuz,"Spends several decades caught in a temporal causality loop; Commanded by Captain Morgan Bateson (Kelsey Grammer). Named for Bozeman, Montana, launching place of humanity's first warp ship and hometown of Brannon Braga, the writer of the episode the ship appeared in. The registration number was a reference to the 1979 film 1941 due to modelmaker Greg Jein working on both projects."
USS Bozeman,NCC-1941-A,Sovereign,Successor to the first Bozeman. Participated in the Battle of Sector 001.
USS Trial,NCC-1948,Miranda,Part of a Starfleet task force at Deep Space Nine during the Klingon invasion of the Cardassian Union. Participates in the Battle for Deep Space 9.
USS Constellation,NCC-1974,Constellation,Participated in the Dominion War.
USS Explorer,NCC-1986,Constitution refit,Seen investigating the results of the Tabula Rasa Incident in the opening sequence of the video game Star Trek: New Worlds. Commanded by Captain Gibson.
USS Excelsior,NCC-2000,Excelsior,"Pathfinder and transwarp drive testbed. In The Search for Spock, the ship was dubbed ""the great experiment"" and was days away from its first test run. It was unexpectedly called into service to stop Admiral Kirk and his crew from stealing the soon to be decommissioned Enterprise. Attempting to use the transwarp drive to bring the ship back to spacedock, the Excelsior was sabotaged by Montgomery Scott and was left inoperable. Following the embarrassing failure, the Excelsior underwent repairs in spacedock before its recommission into active duty. Fails in attempt to rescue Captain James T. Kirk and Dr. Leonard McCoy from Qo'noS. Helps defeat General Chang over Khitomer. Ship aboard which Tuvok serves as science officer. Commanded by Captain Styles in Star Trek III: The Search for Spock and Captain Hikaru Sulu in Star Trek VI: The Undiscovered Country."
USS Valiant,NCC-20000,Oberth,Helps recover Enterprise-D crew at Veridian III.
USS Sydney,NCC-2005,Sydney,Presumable namesake ship for the class.
USS Paris (Simulation ship),NCC-2008,Excelsior,Simulated Excelsior class vessel used by Academy trainees in Star Trek: Starfleet Academy.
USS Jenolan,NCC-2010,Sydney,Crashed on the surface of a Dyson sphere while transporting Captain Montgomery Scott to a retirement colony. Montgomery Scott stored himself in the transporters of this starship. Destroyed.
USS Nash,NCC-20105,Sydney,Transports personnel to and from Deep Space Nine.
USS London,NCC-2012-C,Galaxy,Participates in the Battle for Deep Space 9.
USS Dallas,NCC-2019,Excelsior,"Dedication plaque states ""Last starship of her class""."
USS Samuel B. Roberts,NCC-2020,Miranda,Part of the Starfleet task force during the final battle of the Dominion war. It was brought out of mothball status just two months before the final battle after having been extensively updated. It was badly damaged in the battle but survived. It was later decommissioned again and then scrapped after being deemed too far damaged to repair and mothball again.
USS Farragut,NCC-2021,Excelsior,Transported several genetically enhanced humans to Deep Space Nine.
USS Brittain,NCC-21166,Miranda,Crew went insane due to loss of REM sleep.
USS Tiananmen,NCC-21382,Miranda,Part of the tachyon blockade during the Klingon Civil War. Went MIA while patrolling the Cardassian border during the Dominion War. Participates at the First Battle of Chin'toka. Named for the Tiananmen Square protests of 1989.
